number_of_riders,number_of_drivers,location_category,customer_loyalty_status,number_of_past_rides,average_ratings,time_of_booking,vehicle_type,expected_ride_duration,historical_cost_of_ride,is_urban,is_silver,is_peak_hour,demand_ratio,dynamic_price,static_revenue,dynamic_revenue
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.311838106628,False,False,True,1.5570131849201616,244.61162630074895,17419.31278202303,22993.492872270403
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.76143970087224,False,True,True,0.7122507122507122,192.8168453848938,6611.741907137506,8291.124351550434
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771352873347,False,False,False,1.6067050950771882,136.59530611032147,12268.282122871466,13249.744692701182
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276051239,False,True,True,0.7785065924600808,764.3177998168253,28646.679897440823,35922.93659139079
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624375675698,True,True,False,0.6459948320413437,343.733437768381,11199.335065135221,13405.60407296686
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.32480651562713,False,False,True,0.8281985026171073,536.3487446006278,20316.240325781357,26817.43723003139
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.03711265544783,True,False,True,0.5797389518319751,345.1654381404507,8716.298942940673,12080.790334915775
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016915662245,False,False,True,0.4637911614655801,580.54308161442,17385.247363854287,16255.20628520376
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607016773296,False,False,True,0.8447624726694494,352.5201262140751,13620.095785543808,17978.52643691783
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547930992089,False,True,True,0.8944543828264758,897.5565105464079,38650.75882735728,48468.05156950603
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.385487919734,True,False,False,1.0766580534022394,542.2857147788649,27975.05671478271,35248.57146062622
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047008686,False,False,True,1.010402173192871,797.6404220514655,36860.65586752985,48656.0657451394
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250631593867,False,True,True,0.7619426224077387,305.3804292018709,11202.152905331788,14047.499743286062
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067384048,True,False,False,1.2091698138209765,199.827137241351,12863.65169190355,14587.381018618624
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796320940979,True,False,False,1.4245014245014245,534.6579027947071,40547.24836009242,45980.57964034481
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769493913552,False,False,True,1.242297753925661,598.4575731965889,34003.27120435164,44884.317989744166
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073064574406,False,True,True,0.6459948320413437,314.8885622976305,9793.184951840183,12280.653929607588
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208244536,False,False,False,0.5466110117272908,563.54607449041,17219.46338720697,18597.020458183528
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515319707,False,True,False,0.6625588020936858,355.50146047180186,13859.706061278828,14220.058418872075
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535105622,False,True,False,0.8944543828264758,240.1573113018368,12639.858489570359,12968.494810299188
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.0244513007148,True,False,False,0.8778904127741337,208.6837277750106,9753.295918937883,11060.23757207556
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659163038,True,True,False,1.3416815742397137,664.1996982018156,44945.844239220605,53800.175554347064
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.61977241404605,True,False,True,0.7453786523553966,266.9710045658679,8667.889758632073,12013.695205464055
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.796524806166,True,True,True,0.3312794010468429,212.45727631703082,4555.93049612332,4249.145526340616
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601648993299,False,True,False,0.7785065924600808,474.9258798523608,19580.277502685054,22321.516353060957
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294096442,True,False,True,0.5466110117272908,930.993981561767,22166.523370518258,30722.80139153831
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714448676,False,True,True,1.2919896640826873,693.010273391864,43105.90217269967,54054.801324565386
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.37240510655704,False,True,False,0.4306632213608958,259.5082171235448,8355.682532770483,6747.213645212165
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699200544,False,False,False,1.026966143245213,232.66857951365876,13356.899935043373,14425.451929846842
84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232252967,False,True,True,1.3913734843967402,951.7811385245221,63755.67435092493,79949.61563605985
49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247148756359,True,False,False,0.8116345325647651,874.9751407433013,34026.81102890616,42873.78189642176
34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185255483,False,False,True,0.563174981779633,814.9194484537237,20990.349429868642,27707.261247426606
49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.63536897966003,False,True,False,0.8116345325647651,374.6443206368124,16103.133080003341,18357.571711203807
83,50,Rural,Regular,7,3.66,Evening,Premium,100,376.3000600585162,False,False,True,1.3748095143443981,496.7160792772414,31232.904984856843,41227.43458001104
88,5,Urban,Silver,89,3.59,Night,Economy,27,70.20380336705749,True,True,False,1.4576293646061087,75.63055736733102,6177.934696301059,6655.48904832513
90,71,Suburban,Gold,88,3.84,Morning,Economy,167,451.6848649701074,False,False,True,1.4907573047107932,596.2240217605419,40651.63784730967,53660.16195844877
65,5,Rural,Silver,24,3.54,Night,Economy,119,301.40392677127403,False,True,False,1.0766580534022394,309.2404288673271,19591.25524013281,20100.627876376264
73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,153.39607111804412,True,True,False,1.2091698138209765,183.61509712829883,11197.913191617221,13403.902090365815
85,62,Suburban,Silver,54,3.78,Morning,Economy,114,339.66230419418656,False,True,True,1.4079374544490824,425.93652945951,28871.295856505858,36204.60500405835
65,27,Rural,Gold,62,3.54,Night,Premium,162,733.4425366578176,False,False,False,1.0766580534022394,792.1179395904431,47673.76488275814,51487.6660733788
74,42,Urban,Gold,88,3.5,Evening,Economy,77,203.8363809804033,True,False,True,1.2257337838733187,282.51722403883895,15083.892192549845,20906.274578874083
41,7,Rural,Gold,68,4.3,Evening,Premium,66,284.5088586099128,False,False,True,0.679122772146028,375.55169336508493,11664.863203006425,15397.619427968482
79,23,Urban,Gold,88,3.88,Night,Economy,164,492.1134583590864,True,False,False,1.3085536341350295,558.0566617792041,38876.96321036782,44086.47628055712
53,7,Urban,Silver,64,4.55,Night,Premium,10,86.19117981050438,True,True,False,0.8778904127741337,92.85375800985638,4568.1325299567325,4921.249174522388
35,14,Urban,Silver,74,5.0,Night,Premium,175,727.8809447636283,True,True,False,0.5797389518319751,784.1461417938568,25475.83306672699,27445.114962784988
53,40,Rural,Gold,79,3.66,Evening,Premium,30,158.65264164620277,False,False,True,0.8778904127741337,209.42148697298768,8408.590007248747,11099.338809568348
36,23,Urban,Silver,42,4.66,Morning,Economy,14,44.52503661261306,True,True,True,0.5963029218843172,58.626115707827616,1602.90131805407,2110.5401654817942
38,25,Urban,Regular,2,4.24,Morning,Premium,128,452.4258268814717,True,False,True,0.6294308619890016,627.0621960577198,17192.181421495927,23828.363450193352
52,36,Rural,Silver,1,4.52,Morning,Premium,36,152.64047921471024,False,True,True,0.8613264427217916,191.41116093524664,7937.3049191649325,9953.380368632825
91,64,Suburban,Regular,26,4.56,Morning,Premium,96,420.2245689053783,False,False,True,1.5073212747631353,554.6964309550993,38240.43577038943,50477.37521691404
87,5,Urban,Silver,59,4.32,Night,Economy,42,151.35930066309265,True,True,False,1.4410653945537666,163.0593746043497,13168.25915768906,14186.165590578425
96,20,Suburban,Gold,88,3.6,Evening,Premium,71,242.27196569085137,False,False,True,1.590141125024846,319.79899471192385,23258.10870632173,30700.70349234469
83,59,Urban,Gold,8,4.85,Morning,Economy,31,119.0485543701777,True,False,True,1.3748095143443981,165.00129635706628,9881.030012724748,13695.107597636501
48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,472.56954081275165,False,False,False,0.795070562512423,567.083448975302,22683.33795901208,27220.005550814494
65,19,Suburban,Silver,24,4.59,Evening,Economy,96,334.6493506052282,False,True,True,1.0766580534022394,419.6502856589562,21752.207789339835,27277.268567832154
79,29,Suburban,Silver,0,4.86,Morning,Economy,127,406.0855256604135,False,True,True,1.3085536341350295,509.2312491781585,32080.756527172667,40229.26868507452
100,22,Suburban,Silver,45,4.23,Night,Premium,141,551.365137615676,False,True,False,1.6563970052342145,565.7006311936835,55136.5137615676,56570.06311936835
73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,534.0181945871103,False,True,False,1.2091698138209765,608.7807418293057,38983.328204859055,44440.994153539315
79,67,Rural,Gold,56,4.01,Evening,Premium,151,501.2363000548165,False,False,True,1.3085536341350295,661.6319160723579,39597.6677043305,52268.92136971627
88,55,Rural,Regular,56,4.0,Night,Premium,26,159.60691863182956,False,False,False,1.4576293646061087,172.37547212237592,14045.408839601001,15169.041546769082
76,34,Suburban,Silver,10,4.92,Morning,Economy,103,359.8010509571677,False,True,True,1.258861723978003,451.1905179002883,27344.879872744747,34290.47936042191
49,30,Suburban,Silver,80,3.74,Night,Economy,85,348.6695624527248,False,True,False,0.8116345325647651,357.7349710764956,17084.808560183516,17529.013582748285
100,64,Rural,Regular,7,4.89,Night,Premium,115,490.5040759704239,False,False,False,1.6563970052342145,529.7444020480577,49050.407597042395,52974.440204805775
87,26,Rural,Gold,63,4.2,Morning,Premium,118,485.683239513509,False,False,True,1.4410653945537666,641.101876157832,42254.44183767529,55775.86322573138
22,5,Rural,Silver,93,4.85,Evening,Economy,99,424.9275101964327,False,True,True,0.3644073411515272,377.44186093198135,9348.40522432152,8303.72094050359
21,11,Rural,Silver,23,3.76,Afternoon,Economy,12,40.442890652890384,False,True,False,0.34784337109918506,32.65763420220898,849.300703710698,685.8103182463886
93,57,Suburban,Regular,34,4.89,Morning,Premium,80,258.424915281181,False,False,True,1.5404492148678195,341.12088817115887,24033.51712114983,31724.242599917776
28,15,Rural,Gold,90,4.25,Night,Premium,177,511.929390993806,False,False,False,0.4637911614655801,391.62598411026164,14334.022947826568,10965.527555087327
97,7,Urban,Silver,22,3.74,Afternoon,Premium,147,441.74670095471794,True,True,False,1.6067050950771882,528.7708010427973,42849.42999260764,51290.76770115134
48,12,Urban,Silver,51,4.63,Night,Premium,32,175.5180543386476,True,True,False,0.795070562512423,189.08559993902506,8424.866608255084,9076.108797073202
70,37,Urban,Silver,10,3.65,Night,Premium,168,658.5834276725151,True,True,False,1.1594779036639502,709.4919266316004,46100.83993707605,49664.43486421203
78,12,Rural,Silver,99,4.3,Afternoon,Economy,95,299.2909931126892,False,True,False,1.2919896640826873,341.19173214846563,23344.697462789758,26612.95510758032
25,7,Rural,Regular,24,3.85,Evening,Premium,144,494.8027992189699,False,False,True,0.41409925130855363,462.6406172697369,12370.069980474247,11566.015431743423
24,9,Urban,Gold,6,4.05,Afternoon,Premium,69,223.51901195083727,True,False,False,0.3975352812562115,199.49071816612226,5364.456286820095,4787.777235986934
92,37,Rural,Silver,7,4.92,Morning,Premium,103,434.5710508212173,False,True,True,1.5238852448154774,544.9520977298065,39980.53667555199,50135.5929911422
43,33,Rural,Gold,16,4.01,Morning,Premium,159,630.4284012724294,False,False,True,0.7122507122507122,832.1654896796068,27108.421254714463,35783.116056223094
96,23,Urban,Gold,8,4.23,Morning,Premium,90,445.1254111184949,True,False,True,1.590141125024846,616.943819810234,42732.039467375515,59226.60670178247
88,46,Rural,Gold,35,4.89,Afternoon,Premium,72,361.98552095653855,False,False,False,1.4576293646061087,434.3826251478462,31854.72584417539,38225.67101301047
83,43,Suburban,Regular,20,3.59,Morning,Economy,63,267.28219711727195,False,False,True,1.3748095143443981,352.812500194799,22184.422360733573,29283.437516168317
50,29,Urban,Regular,2,4.81,Morning,Economy,143,518.9547629602604,True,False,True,0.8281985026171073,719.2713014629211,25947.73814801302,35963.565073146056
97,75,Urban,Regular,15,4.94,Afternoon,Economy,163,575.4934491747886,True,False,False,1.6067050950771882,725.1217459602336,55822.864569954494,70336.80935814267
84,24,Suburban,Regular,39,4.08,Afternoon,Economy,86,349.4432162449335,False,False,False,1.3913734843967402,419.3318594939202,29353.230164574416,35223.8761974893
68,40,Suburban,Silver,58,4.64,Morning,Premium,68,279.2349662242834,False,True,True,1.126349963559266,350.16064764525146,18987.977703251272,23810.9240398771
77,30,Urban,Regular,99,4.7,Evening,Premium,179,689.7483154802385,True,False,True,1.2754256940303452,955.9911652556106,53110.62029197836,73611.319724682
82,67,Urban,Regular,13,4.43,Afternoon,Economy,33,88.76294359232648,True,False,False,1.358245544292056,111.84130892633137,7278.5613745707715,9170.987331959172
21,8,Suburban,Gold,37,3.71,Evening,Premium,171,621.7963494961118,False,False,True,0.34784337109918506,581.3795867788646,13057.723339418348,12208.971322356156
75,24,Rural,Regular,44,3.79,Night,Premium,72,307.621949405299,False,False,False,1.242297753925661,332.23170535772294,23071.646205397425,24917.377901829223
61,9,Urban,Gold,74,3.98,Evening,Premium,32,172.41053126646165,True,False,True,1.010402173192871,238.96099633531588,10517.042407254161,14576.620776454269
90,13,Suburban,Regular,24,3.73,Afternoon,Economy,126,444.2453020895959,False,False,False,1.4907573047107932,533.094362507515,39982.07718806363,47978.49262567635
100,21,Suburban,Regular,20,3.52,Night,Premium,163,556.8967118375435,False,False,False,1.6563970052342145,601.448448784547,55689.671183754355,60144.84487845471
93,31,Suburban,Gold,13,3.58,Afternoon,Premium,101,355.3245754797394,False,False,False,1.5404492148678195,426.38949057568726,33045.18551961576,39654.22262353892
92,14,Urban,Silver,57,3.73,Morning,Premium,133,474.99773906008016,True,True,True,1.5238852448154774,625.4295230204076,43699.791993527375,57539.5161178775
61,12,Rural,Gold,59,4.72,Afternoon,Premium,178,581.9712306098094,False,False,False,1.010402173192871,698.3654767317712,35500.24506719837,42600.29408063804
53,12,Suburban,Gold,79,3.6,Night,Premium,154,663.4393972369916,False,False,False,0.8778904127741337,716.5145490159509,35162.28805356055,37975.2710978454
55,21,Urban,Regular,20,3.56,Night,Premium,134,519.469492374694,True,False,False,0.911018352878818,589.078404352903,28570.82208060817,32399.312239409664
57,45,Rural,Gold,78,4.43,Afternoon,Premium,112,397.6919501475396,False,False,False,0.9441462929835023,477.23034017704754,22668.441158409758,27202.129390091708
34,8,Suburban,Silver,51,4.09,Afternoon,Premium,130,388.1122298927073,False,True,False,0.563174981779633,442.4479420776863,13195.81581635205,15043.230030641334
50,11,Suburban,Silver,19,4.87,Morning,Economy,144,591.1000759572743,False,True,True,0.8281985026171073,741.2394952504219,29555.003797863712,37061.974762521095
35,22,Rural,Silver,82,3.79,Afternoon,Economy,174,586.7988633141081,False,True,False,0.5797389518319751,668.9507041780831,20537.960215993782,23413.27464623291
43,14,Suburban,Regular,1,3.53,Night,Premium,134,648.9097429236178,False,False,False,0.7122507122507122,700.8225223575073,27903.118945715567,30135.368461372815
50,25,Suburban,Silver,19,4.32,Night,Economy,176,746.3391324597457,False,True,False,0.8281985026171073,765.743949903699,37316.95662298728,38287.19749518495
55,19,Urban,Regular,64,4.34,Morning,Premium,129,555.0976877626003,True,False,True,0.911018352878818,769.3653952389642,30530.372826943018,42315.09673814303
93,67,Urban,Silver,21,4.88,Night,Premium,87,417.91314129159,True,True,False,1.5404492148678195,450.21782711342996,38865.92214011787,41870.25792154899
94,69,Urban,Silver,86,4.12,Morning,Premium,18,97.80093621671637,True,True,True,1.5570131849201616,128.77449271655044,9193.288004371338,12104.80231535574
70,60,Urban,Regular,57,4.05,Afternoon,Premium,43,193.0891119987856,True,False,False,1.1594779036639502,243.29228111846984,13516.237839914991,17030.45967829289
36,25,Suburban,Regular,61,3.64,Night,Economy,132,492.4640116460618,False,False,False,0.5963029218843172,531.8611325777467,17728.704419258225,19147.00077279888
37,9,Suburban,Silver,73,4.8,Morning,Economy,124,408.81562882076287,False,True,True,0.6128668919366593,512.6547985412366,15126.178266368226,18968.22754602575
68,46,Urban,Gold,8,4.21,Afternoon,Economy,116,364.1617948077249,True,False,False,1.126349963559266,458.8438614577334,24763.002046925292,31201.38257912587
77,15,Suburban,Regular,47,4.47,Morning,Economy,66,228.64349787316,False,False,True,1.2754256940303452,301.80941719257123,17605.549336233318,23239.325123827984
27,12,Suburban,Silver,64,4.7,Evening,Economy,149,667.9464280068869,False,True,True,0.4472271914132379,593.3034146771172,18034.553556185947,16019.192196282163
90,56,Suburban,Silver,61,4.38,Night,Premium,91,410.34270896598935,False,True,False,1.4907573047107932,421.0116193991051,36930.84380693904,37891.04574591946
46,23,Suburban,Regular,19,4.92,Afternoon,Economy,169,710.4192641684332,False,False,False,0.7619426224077387,852.5031170021198,32679.286151747925,39215.14338209751
96,80,Urban,Regular,47,3.77,Morning,Economy,70,177.20306582722415,True,False,True,1.590141125024846,245.6034492365327,17011.49431941352,23577.93112670714
80,6,Rural,Silver,43,4.81,Night,Economy,24,74.32837977574499,False,True,False,1.3251176041873716,76.26091764991436,5946.2703820596,6100.873411993149
80,31,Suburban,Silver,91,4.61,Evening,Premium,127,392.3027600530253,False,True,True,1.3251176041873716,491.94766110649374,31384.220804242024,39355.8128885195
64,25,Suburban,Silver,85,4.46,Afternoon,Premium,37,168.61019430479575,False,True,False,1.0600940833498973,192.21562150746715,10791.052435506928,12301.799776477897
57,42,Rural,Silver,36,3.59,Afternoon,Premium,167,587.2581373063812,False,True,False,0.9441462929835023,669.4742765292744,33473.713826463725,38160.03376216864
52,7,Rural,Silver,57,4.82,Night,Economy,180,563.9803272683639,False,True,False,0.8613264427217916,578.6438157773413,29326.977017954923,30089.478420421747
69,56,Urban,Regular,73,4.02,Night,Premium,116,352.3474982568331,True,False,False,1.142913933611608,399.56206302324875,24311.977379721484,27569.782348604163
67,54,Suburban,Regular,53,3.67,Morning,Economy,110,415.3075369486595,False,False,True,1.1097859935069236,548.2059487722306,27825.604975560185,36729.79856773945
25,7,Rural,Silver,13,4.07,Afternoon,Premium,60,204.215843297379,False,True,False,0.41409925130855363,164.90429346263352,5105.396082434475,4122.607336565838
80,35,Rural,Regular,29,4.49,Night,Economy,79,319.6520700676685,False,False,False,1.3251176041873716,345.224235673082,25572.16560541348,27617.938853846557
73,6,Suburban,Silver,5,4.03,Night,Premium,71,362.05333073474793,False,True,False,1.2091698138209765,371.46671733385136,26429.8931436366,27117.07036537115
24,6,Urban,Regular,65,4.29,Afternoon,Premium,106,387.4755378090192,True,False,False,0.3975352812562115,345.82191749454967,9299.412907416461,8299.726019869191
37,14,Rural,Gold,18,4.36,Evening,Economy,85,348.8532987245396,False,False,True,0.6128668919366593,460.48635431639235,12907.572052807966,17037.995109706517
27,6,Rural,Regular,74,4.75,Afternoon,Premium,157,732.2985126943609,False,False,False,0.4472271914132379,622.4537357902067,19772.05984274774,16806.25086633558
23,11,Urban,Regular,11,4.86,Afternoon,Economy,133,343.6721333865543,True,False,False,0.38097131120386934,306.72737904749977,7904.45906789075,7054.729718092494
42,8,Rural,Gold,12,4.79,Morning,Premium,166,599.7162532373392,False,False,True,0.6956867421983701,791.6254542732878,25188.082635968247,33248.26907947809
74,39,Urban,Silver,11,3.65,Morning,Economy,173,484.75453888236336,True,True,True,1.2257337838733187,638.2763013464079,35871.83587729489,47232.44629963418
68,30,Urban,Regular,28,4.69,Night,Premium,134,581.1514565564086,True,False,False,1.126349963559266,659.0257517349673,39518.29904583578,44813.75111797778
59,9,Suburban,Silver,30,4.83,Afternoon,Economy,140,603.3651642705413,False,True,False,0.9772742330881866,687.836287268417,35598.544691961935,40582.3409488366
89,75,Rural,Silver,76,4.39,Evening,Economy,110,369.8546414878244,False,True,True,1.474193334658451,463.79772042573177,32917.06309241637,41277.997117890125
81,35,Suburban,Regular,45,4.11,Night,Economy,174,708.8801421484817,False,False,False,1.3416815742397137,765.5905535203602,57419.29151402702,62012.83483514918
33,8,Suburban,Regular,74,4.52,Morning,Premium,56,205.83755050869485,False,False,True,0.5466110117272908,271.70556667147724,6792.63916678693,8966.283700158749
75,28,Urban,Gold,49,4.46,Night,Economy,163,684.5607033083106,True,False,False,1.242297753925661,776.2918375516243,51342.0527481233,58221.887816371825
87,48,Suburban,Silver,95,4.73,Morning,Economy,162,453.2541298779704,False,True,True,1.4410653945537666,568.3806788669749,39433.109299383425,49449.11906142682
56,37,Suburban,Silver,96,3.83,Afternoon,Premium,130,412.5848379812361,False,True,False,0.9275823229311602,470.34671529860907,23104.750926949222,26339.416056722108
75,32,Urban,Silver,20,3.69,Evening,Premium,96,440.4442377359072,True,True,True,1.242297753925661,579.9329278268691,33033.31783019304,43494.969587015185
99,54,Rural,Silver,96,3.77,Afternoon,Premium,61,241.6407113776789,False,True,False,1.6398330351818724,275.4704109705539,23922.430426390212,27271.57068608484
33,16,Rural,Regular,81,4.08,Afternoon,Premium,50,201.2925318937432,False,False,False,0.5466110117272908,241.5510382724918,6642.653552493525,7971.184262992229
41,28,Rural,Gold,89,4.47,Evening,Premium,45,220.05114029296504,False,False,True,0.679122772146028,290.4675051867139,9022.096752011566,11909.16771265527
55,19,Suburban,Silver,74,3.51,Morning,Economy,173,702.9134159653358,False,True,True,0.911018352878818,881.4534236205311,38660.237878093474,48479.93829912921
93,51,Rural,Silver,12,4.98,Morning,Premium,90,431.42166025583447,False,True,True,1.5404492148678195,541.0027619608164,40122.214403792605,50313.25686235593
54,35,Urban,Silver,11,4.49,Afternoon,Premium,96,466.8626810645626,True,True,False,0.8944543828264758,558.8346292342814,25210.58477748638,30177.069978651194
34,20,Urban,Gold,21,4.15,Morning,Premium,158,445.1263611668488,True,False,True,0.563174981779633,616.9451365772525,15134.29627967286,20976.134643626585
86,18,Suburban,Silver,61,4.3,Afternoon,Premium,126,441.6378571357946,False,True,False,1.4245014245014245,503.46715713480586,37980.855713678335,43298.175513593305
85,27,Suburban,Gold,8,4.11,Night,Premium,157,669.5210116683382,False,False,False,1.4079374544490824,723.0826926018053,56909.28599180875,61462.02887115345
74,5,Suburban,Regular,80,3.63,Night,Economy,134,354.3852115042604,False,False,False,1.2257337838733187,382.7360284246012,26224.505651315267,28322.46610342049
63,53,Rural,Gold,33,4.33,Afternoon,Economy,175,489.7125242986789,False,False,False,1.0435301132975552,587.6550291584147,30851.88903081677,37022.266836980125
55,13,Suburban,Silver,45,3.71,Morning,Premium,40,222.56858200356248,False,True,True,0.911018352878818,279.1010018324674,12241.272010195937,15350.555100785705
100,66,Suburban,Gold,27,3.53,Evening,Premium,106,412.2556067980849,False,False,True,1.6563970052342145,544.1774009734721,41225.56067980849,54417.74009734721
51,27,Urban,Gold,86,3.82,Evening,Premium,152,472.21573527678265,True,False,True,0.8447624726694494,654.4910090936207,24083.002499115915,33379.04146377466
37,10,Urban,Silver,33,4.86,Afternoon,Economy,44,179.93988033973832,True,True,False,0.6128668919366593,215.38803676666677,6657.775572570318,7969.357360366671
99,71,Suburban,Gold,3,4.63,Morning,Premium,100,308.9111533232364,False,False,True,1.6398330351818724,407.7627223866721,30582.204179000404,40368.50951628054
54,24,Rural,Silver,85,3.79,Evening,Economy,102,306.3142432341152,False,True,True,0.8944543828264758,384.11806101558045,16540.969134642222,20742.375294841346
30,7,Rural,Gold,57,4.27,Morning,Premium,69,224.46487829301583,False,False,True,0.49691910157026437,209.87466120396982,6733.946348790475,6296.239836119094
84,56,Urban,Silver,71,4.56,Evening,Premium,15,101.07378646994935,True,True,True,1.3913734843967402,133.08385464498232,8490.198063475746,11179.043790178515
49,14,Suburban,Silver,55,4.43,Morning,Premium,131,633.4966221375331,False,True,True,0.8116345325647651,794.4047641604665,31041.334484739124,38925.83344386286
86,10,Urban,Silver,98,4.8,Morning,Economy,18,62.87509273644356,True,True,True,1.4245014245014245,82.78763460607524,5407.257975334146,7119.736576122471
48,24,Rural,Gold,17,3.98,Afternoon,Economy,29,92.03104706108972,False,False,False,0.795070562512423,110.43725647330767,4417.4902589323065,5300.988310718768
67,18,Urban,Silver,78,3.81,Morning,Premium,22,106.7358926414302,True,True,True,1.1097859935069236,140.53914984097116,7151.304806975823,9416.123039345068
100,16,Rural,Gold,96,3.65,Night,Premium,163,560.6703257140985,False,False,False,1.6563970052342145,605.5239517712264,56067.03257140984,60552.39517712264
79,7,Rural,Silver,31,4.82,Night,Economy,100,322.9000694955284,False,True,False,1.3085536341350295,331.29547130241207,25509.105490146743,26172.342232890554
99,9,Rural,Silver,33,4.98,Afternoon,Economy,110,292.33936093553586,False,True,False,1.6398330351818724,333.26687146651085,28941.59673261805,32993.42027518457
34,24,Urban,Silver,3,4.41,Morning,Economy,97,242.7517170048808,True,True,True,0.563174981779633,319.6311857803266,8253.558378165946,10867.460316531104
54,21,Urban,Silver,23,4.44,Evening,Premium,136,442.7796305981407,True,True,True,0.8944543828264758,583.0079396085719,23910.1000522996,31482.42873886288
77,43,Suburban,Regular,73,4.07,Afternoon,Premium,131,505.54671645728143,False,False,False,1.2754256940303452,606.6560597487377,38927.09716721067,46712.5166006528
80,21,Urban,Regular,85,4.21,Morning,Premium,146,474.9171617926677,True,False,True,1.3251176041873716,658.2351862446376,37993.372943413415,52658.81489957101
74,54,Urban,Regular,16,4.35,Afternoon,Premium,147,617.434678434942,True,False,False,1.2257337838733187,777.967694828027,45690.16620418571,57569.609417274
57,38,Urban,Regular,31,3.97,Morning,Premium,64,294.8553699465021,True,False,True,0.9441462929835023,408.66954274585197,16806.75608695062,23294.163936513563
97,66,Urban,Silver,90,3.6,Evening,Premium,150,717.467322019467,True,True,True,1.6067050950771882,944.6892229030323,69594.3302358883,91634.85462159413
52,14,Suburban,Gold,97,4.83,Evening,Premium,66,266.9772170141728,False,False,True,0.8613264427217916,352.4099264587082,13882.815284736987,18325.316175852826
51,37,Rural,Regular,34,4.64,Afternoon,Economy,100,383.3711770715268,False,False,False,0.8447624726694494,460.0454124858322,19551.930030647865,23462.31603677744
87,52,Urban,Gold,15,3.57,Night,Economy,66,266.4336179135411,True,False,False,1.4410653945537666,302.13572271395566,23179.724758478078,26285.80787611414
91,42,Suburban,Silver,76,4.96,Morning,Economy,86,336.39439243010713,False,True,True,1.5073212747631353,421.8385681073544,30611.88971113975,38387.30969776925
85,34,Rural,Regular,66,4.59,Morning,Premium,163,764.8593556145701,False,False,True,1.4079374544490824,1009.6143494112325,65013.04522723846,85817.21969995476
57,21,Rural,Silver,28,4.93,Night,Economy,141,588.6941797749441,False,True,False,0.9441462929835023,604.0002284490926,33555.56824717182,34428.01302159828
28,8,Urban,Regular,67,3.78,Afternoon,Premium,58,305.2426676647312,True,False,False,0.4637911614655801,272.42908089077264,8546.794694612474,7628.014264941634
58,30,Urban,Regular,32,4.14,Night,Economy,75,256.37380365626416,True,False,False,0.9607102630358444,290.72789334620353,14869.680612063321,16862.217814079806
31,9,Rural,Gold,18,4.42,Morning,Premium,114,461.0193485856391,False,False,True,0.5134830716226065,608.5455401330436,14291.59980615481,18864.91174412435
27,11,Suburban,Gold,88,4.5,Evening,Premium,144,581.7472844259253,False,False,True,0.4472271914132379,543.9337109382402,15707.176679499982,14686.210195332485
90,75,Urban,Gold,88,4.1,Afternoon,Economy,106,472.5465909334413,True,False,False,1.4907573047107932,595.408704576136,42529.19318400972,53586.78341185224
54,8,Suburban,Regular,41,3.89,Morning,Economy,168,573.4835718398938,False,False,True,0.8944543828264758,756.9983148286598,30968.112879354263,40877.909000747626
23,9,Suburban,Silver,50,3.84,Evening,Premium,34,192.3850221961644,False,True,True,0.38097131120386934,170.88599596574304,4424.855510511781,3930.3779072120897
