Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
34,12,1,2,38,4.18,0,0,24,106.94859059241988
80,34,1,2,84,3.8,3,0,174,561.4385219871201
21,7,0,1,58,4.31,2,1,75,328.45835687553256
97,71,1,2,52,4.32,1,0,36,133.38738314122594
64,7,1,1,92,4.58,1,1,16,114.6992021313152
47,34,0,0,16,4.38,1,1,46,237.14338896943255
44,28,0,0,30,3.93,1,1,42,157.10657171647188
21,9,1,0,13,4.01,1,0,127,431.251597706785
57,37,2,0,59,3.92,1,0,159,585.8075881778408
62,5,0,2,51,4.4,0,0,160,647.204374917644
25,6,2,0,60,3.91,1,1,145,559.578839787104
92,33,1,2,70,3.69,1,1,46,173.1505322724627
38,7,0,0,46,3.79,3,0,78,198.17046750812372
99,31,2,2,0,3.54,2,0,50,192.7088692483722
35,7,0,1,65,4.19,3,0,65,165.0758241756551
30,13,2,0,53,3.68,3,1,124,379.4680328899806
28,6,2,0,53,4.48,3,1,148,461.10955384851616
59,47,0,2,73,3.54,3,0,75,234.5672445982206
24,13,2,2,50,4.26,3,1,141,540.0620306756346
21,6,1,1,15,3.81,1,1,80,318.8415033130425
84,54,1,2,59,4.98,0,1,43,196.31514152174805
100,50,2,2,83,4.91,2,1,173,622.4914304114809
30,11,2,2,99,4.96,1,0,83,349.6745279402746
45,35,0,1,0,4.58,0,1,41,206.1473318707726
53,35,2,0,35,3.92,0,1,166,635.9330544824535
65,41,0,0,51,3.57,3,1,48,251.1121418065252
93,6,0,2,85,4.47,3,0,107,324.098767437868
28,5,0,1,69,4.49,2,1,132,425.4887347951667
38,8,2,2,78,3.57,3,0,114,470.2690237026412
25,6,2,1,69,4.45,1,1,94,398.051725971793
76,23,0,1,64,3.57,3,1,115,564.9317250247195
22,7,1,0,73,4.91,2,1,73,238.31899146487595
40,5,0,2,17,4.55,0,0,72,184.9552256292673
89,16,1,1,27,4.86,0,0,161,624.305615960136
31,21,1,2,77,4.83,0,0,107,389.3845083155804
92,45,0,2,59,4.23,2,1,121,574.8939389332888
58,32,2,0,92,4.59,0,1,111,517.9444619823878
58,20,0,2,42,3.51,1,0,125,527.1792011771714
36,7,1,1,26,4.35,2,0,59,201.49683080394215
66,40,0,1,93,4.86,1,0,153,627.0167510146084
76,54,2,1,58,4.05,1,0,74,218.6251778894482
55,23,2,0,46,4.58,0,1,150,654.676536309137
21,8,2,1,57,4.78,3,1,84,293.5602166445157
61,45,0,0,42,4.25,0,0,102,421.98526198279467
72,62,1,1,48,3.82,1,0,126,553.7408048680613
65,18,0,0,65,4.01,2,0,111,330.62430999065225
20,8,0,2,27,4.99,2,0,83,261.4451502998812
22,7,1,2,16,4.1,3,0,147,520.0637873298249
72,49,1,0,15,4.34,3,1,19,117.63327810103034
42,30,2,1,26,4.79,0,0,138,493.0149508584995
100,54,1,1,91,4.59,3,1,61,203.1132957396489
87,32,1,2,38,4.76,0,0,114,421.7762985074602
36,8,2,0,47,4.07,0,0,77,305.0088858607341
70,38,2,2,99,4.19,2,0,76,317.77188818101894
41,7,2,0,4,4.15,3,0,83,364.9140560714328
59,40,0,0,64,4.72,3,0,157,398.3194964103068
33,14,2,1,38,4.89,2,0,127,461.3060120664082
70,26,2,2,15,3.67,3,1,70,358.2348071386952
45,7,0,1,87,4.35,1,0,74,224.3071067625652
98,71,1,1,83,4.55,2,0,139,558.3815496134125
75,63,2,0,42,4.55,1,1,138,660.4425622593634
100,34,0,0,33,4.75,3,0,156,537.4486716625657
76,23,2,2,53,3.94,1,0,117,480.104370355134
32,12,2,2,69,3.68,2,0,55,162.28310451017555
35,23,1,0,58,3.78,0,0,164,638.0445145215127
30,16,1,0,89,3.63,0,0,142,420.1110979571745
75,56,2,1,66,3.69,1,1,22,124.49060049402551
25,6,0,1,23,3.95,2,1,55,235.27811761739352
88,16,1,0,26,4.18,2,0,32,127.33149010162909
43,26,0,2,69,4.9,1,0,107,391.0269903920518
39,20,0,2,97,4.25,2,0,121,319.5430197104816
77,63,1,0,72,4.56,2,0,113,380.2853707615285
41,14,1,2,59,4.72,2,1,49,179.62342246641472
51,20,0,2,97,4.8,2,0,130,452.112640122952
30,10,1,0,86,4.95,1,0,149,565.6691466337952
29,8,2,0,52,4.68,0,1,121,402.1558775823215
21,5,0,0,8,4.44,0,1,159,689.8421599513094
50,15,1,1,62,4.51,3,0,83,307.6469280930268
61,42,0,0,11,3.72,3,0,52,186.5262770863605
67,5,1,2,81,4.53,2,1,14,91.06777716361007
73,22,1,1,26,4.99,3,0,33,143.8549860520897
35,18,2,0,27,3.82,2,0,158,553.837359075948
96,58,2,2,25,3.61,2,0,85,336.56848365859423
38,28,2,0,8,4.83,2,0,29,95.02020685904614
75,28,2,0,6,4.02,1,1,171,575.0117219060105
57,26,1,2,92,4.11,0,1,58,264.675747588135
36,10,0,0,65,3.54,3,0,53,185.61792391524813
73,27,0,0,98,3.97,1,0,57,251.1556502722435
68,29,0,0,51,3.99,1,0,110,299.689056274687
25,9,0,0,11,3.58,3,0,31,92.65681121424488
97,25,2,1,95,4.91,3,1,101,332.2293764400841
30,7,0,1,85,3.74,1,0,44,184.11208970364285
83,7,1,0,24,4.9,2,1,24,124.5817744544144
27,5,0,0,2,4.3,1,0,22,60.98181721983856
58,21,1,0,72,4.14,0,0,10,35.88598786056829
32,15,2,0,67,3.76,1,1,23,132.12301879164062
76,8,2,0,40,4.68,0,0,157,561.5796822292014
21,9,1,1,38,4.54,2,0,179,546.3787898746884
47,37,2,0,53,4.69,3,0,41,147.4597413359118
33,20,1,1,97,4.13,2,1,169,668.8922140357987
92,66,0,2,26,3.56,1,0,19,62.06928479024478
24,7,0,2,34,3.51,0,1,111,477.7411361723483
75,9,0,0,71,4.06,3,0,150,411.0057654245888
89,76,2,0,35,4.8,3,1,177,650.2985711974341
67,20,2,1,42,4.13,1,0,68,243.22861759627588
61,23,1,2,51,4.73,1,1,150,680.9330686248741
80,67,0,1,80,4.74,3,0,147,432.30725774113824
66,15,1,0,62,4.59,3,0,161,720.729944900258
39,12,1,1,54,3.77,2,1,176,510.4543750320455
46,22,2,1,9,4.33,2,0,128,522.7974318549136
89,74,0,2,41,4.89,2,1,115,432.16279228896633
60,16,2,0,56,4.33,3,1,126,382.4570671338528
58,13,0,1,99,3.62,2,1,106,351.43931589566165
68,16,2,2,93,4.44,2,1,154,510.19578633034166
45,19,1,2,71,3.72,3,0,121,313.92644056486665
91,61,1,0,100,4.88,3,0,101,372.2298219510593
39,12,2,1,70,4.02,2,1,66,314.46800852423786
97,9,0,0,58,4.32,1,1,142,491.5779538643877
42,18,1,2,39,3.94,0,0,128,527.1558943563921
27,15,2,0,11,3.77,1,0,111,432.849396942834
67,48,0,1,94,4.3,1,1,168,544.6027807887253
69,51,2,1,75,3.57,3,1,136,470.18271352951473
69,47,2,1,65,4.22,3,0,18,53.5391040086766
93,18,1,0,34,3.54,0,0,80,352.0685727015968
84,74,1,1,7,4.4,0,1,101,396.3698341114785
96,48,2,0,41,4.39,2,0,130,367.7829980600229
30,13,1,0,72,4.18,3,1,113,352.9356730761453
60,48,1,1,15,4.06,2,0,78,339.1055825696459
72,39,2,1,39,3.77,3,1,115,347.8959667426787
31,13,1,1,82,4.63,2,0,108,469.2509135918648
71,13,0,2,60,4.3,3,1,62,213.8430201203033
91,61,0,2,86,4.44,2,1,129,567.5392184514062
91,60,0,0,2,3.53,1,1,107,492.179013222281
32,6,2,2,13,4.75,0,0,53,173.88747446193491
23,10,1,0,47,4.84,1,0,125,418.10682439062094
61,47,1,2,100,4.58,3,1,157,658.3040013013618
57,40,2,1,78,3.62,0,0,171,764.5953413909641
89,70,1,0,86,4.51,0,0,90,384.2092919756728
64,45,0,0,22,3.96,3,1,118,404.6018875393623
91,29,2,1,82,3.73,0,1,90,446.81702579708536
91,53,1,0,67,4.56,3,0,50,158.1067231747087
69,37,1,1,47,4.39,1,1,60,284.2362895344896
71,61,1,1,79,3.85,0,0,147,591.2989763287625
38,7,0,2,28,3.85,1,0,12,36.00027803358747
100,32,1,1,67,3.94,1,1,162,581.1370845965885
65,51,1,0,97,4.81,3,1,144,588.1367698544636
73,38,2,1,91,4.23,1,1,86,400.2673330229722
56,25,1,1,87,3.73,1,1,172,575.4102708388258
75,55,0,2,80,4.7,2,0,69,190.9788526811355
97,21,2,1,43,3.79,0,1,106,398.1593839328215
94,71,0,1,48,4.73,3,1,169,770.8733244527833
53,22,2,2,28,4.99,0,1,64,211.0820229741896
81,8,0,2,78,4.8,0,1,141,618.4288567281086
47,34,0,2,87,3.53,2,1,170,739.2271199769044
80,48,1,1,13,4.44,3,0,35,128.7410738814351
75,55,0,0,54,4.73,3,1,145,584.4917299915722
89,12,2,2,42,4.73,0,0,102,328.31398217312767
30,13,0,0,8,4.1,0,0,94,274.6803754439265
64,5,0,0,91,4.34,1,1,21,108.2430435427408
55,29,1,0,92,4.85,2,0,44,181.78093960037765
94,76,1,0,26,4.7,2,1,94,405.317954516569
53,28,2,0,6,3.67,1,0,178,775.7916851510323
29,7,1,1,68,3.98,2,0,114,289.1296809487768
29,17,2,2,76,3.61,2,0,166,674.132847635612
75,42,1,2,38,4.25,0,0,146,479.11995337350106
74,53,1,1,60,3.93,3,0,162,676.4404324115253
89,75,2,2,10,4.91,1,0,16,54.44953818628992
29,13,1,0,44,4.29,1,1,87,267.7404170012178
40,20,0,2,45,4.42,1,1,130,445.4842486108808
79,11,2,1,1,4.35,3,1,45,210.25675967194184
98,87,2,0,87,4.28,0,1,170,603.8458024755097
95,76,2,1,74,4.39,3,0,118,464.9915827255092
79,13,0,0,67,4.05,1,1,151,514.9363491532515
38,22,1,1,18,4.17,3,1,121,450.5387531372676
83,41,1,2,48,3.64,1,0,176,741.3443926126964
59,24,1,1,40,4.0,0,1,147,631.6312970255759
51,11,1,1,72,3.62,0,0,16,71.21364105240121
64,46,0,2,51,5.0,1,1,29,144.60138253530263
30,6,0,1,93,3.81,1,0,129,505.92196882791006
60,15,1,1,95,4.84,0,0,180,726.3339146351499
75,51,0,1,17,4.83,0,1,79,283.4132787585248
25,15,1,1,88,4.68,0,1,31,148.18648820169864
46,31,1,0,67,3.53,2,0,61,158.59209307103367
48,11,2,1,86,3.55,3,0,15,57.89462608061131
51,6,0,0,64,4.57,2,0,34,142.5577269374603
68,23,1,0,96,4.77,2,0,105,359.128113102171
89,8,1,2,18,3.83,2,0,121,407.5520587692045
84,55,1,1,1,4.47,0,0,146,487.3991192361553
50,8,0,1,25,3.8,1,1,13,89.61312852216915
99,40,2,0,26,4.83,1,1,151,510.6580782397596
21,9,2,0,91,4.82,2,0,47,171.6271185714875
53,19,1,2,54,3.84,1,0,132,520.5653406452625
60,16,2,0,68,4.23,3,0,108,458.096326804516
32,22,1,2,9,4.68,3,1,135,530.1491563778454
51,25,0,1,21,4.43,1,1,38,200.2582591219043
22,5,2,1,75,4.39,3,1,19,128.0167601925525
21,7,0,1,6,4.96,0,1,180,836.1164185613576
55,21,0,2,49,4.59,2,0,111,471.0890518884983
42,31,0,0,32,4.75,3,0,12,50.6401755820817
86,26,0,2,31,3.69,0,0,85,263.1611767019543
48,18,0,2,60,4.47,0,1,124,524.1655595085831
82,65,2,0,43,4.8,3,1,112,330.2265438250878
63,48,0,1,88,4.09,2,0,70,212.7407519371268
44,24,2,1,83,3.61,3,0,13,48.92895253547415
39,18,1,0,78,4.21,0,0,165,734.3951190125542
23,7,0,0,98,4.35,2,0,76,281.33950234360725
31,7,0,2,27,4.73,2,1,141,476.28985780068655
44,7,0,1,55,3.66,3,1,103,490.3421583214189
23,5,2,0,92,3.71,3,0,105,363.4447759027239
63,46,2,2,36,4.59,2,0,18,49.83993575677632
25,15,2,0,15,4.18,2,1,176,516.8295590439432
27,11,0,1,1,4.34,3,0,99,262.6864663772181
57,28,2,0,27,4.58,0,0,107,423.5098573724167
83,26,1,0,77,3.62,3,1,74,373.975635759196
80,5,1,1,53,3.67,1,1,48,184.24294467848267
50,40,0,2,61,4.7,1,1,73,319.11098294212263
84,8,0,0,21,4.63,3,0,172,549.2008068168793
90,54,0,1,1,3.59,0,1,87,427.8571629452071
28,9,2,2,68,4.82,1,1,43,164.316390505398
97,64,0,2,62,3.52,2,1,152,638.1340201838489
99,22,1,2,7,4.4,2,0,39,131.44358716419623
96,53,0,1,58,4.28,0,0,21,55.6373707994896
88,69,0,0,89,3.6,1,1,107,467.92749485577286
53,17,0,2,78,4.03,0,1,26,120.24719290813758
28,14,0,2,77,3.58,0,0,98,374.65518279544045
59,21,0,1,97,3.6,0,1,67,269.44414015954374
50,27,1,0,100,4.22,2,1,173,685.6696935694298
89,8,2,0,40,3.59,2,1,151,528.0024896243917
83,34,2,2,96,4.71,1,1,176,812.0729938599545
73,14,2,0,28,4.31,1,0,29,118.97305838669006
76,35,1,1,8,4.89,0,1,138,406.5899107855241
56,35,0,2,33,3.97,2,0,47,134.77582951421903
40,20,0,1,11,4.4,0,0,83,343.79851998722387
27,6,2,2,92,3.73,3,1,125,460.2837624776103
32,7,2,1,79,4.05,2,0,83,306.390461217286
48,24,2,2,35,4.2,3,1,51,251.4211394087152
71,41,2,0,31,3.81,0,1,140,614.63671317069
53,6,0,2,74,4.12,3,0,76,231.1651667910225
87,44,0,2,61,3.87,1,1,16,117.76366453355408
36,16,2,1,82,4.62,0,1,72,253.4912438007839
39,20,0,0,71,4.11,2,0,111,404.5983991889042
91,81,0,0,15,4.68,1,1,20,135.1772701347079
31,18,2,1,46,4.86,3,0,128,360.8585507409454
94,67,1,2,34,4.64,3,1,64,231.3263184773236
83,18,2,0,12,4.98,2,0,81,286.409294385432
34,9,2,2,65,4.69,0,1,107,508.7118174567975
32,6,0,0,75,4.47,2,1,154,721.7212691270341
22,7,2,0,15,3.53,1,1,180,552.2693747461685
49,20,0,2,52,4.74,0,1,162,510.62689141008207
61,38,2,2,95,3.5,3,0,164,415.9794524398186
21,9,2,0,48,4.4,0,1,152,660.0597080304599
40,18,2,2,16,4.59,0,1,157,644.0445755475266
22,6,2,2,82,4.3,2,1,172,710.884313751738
34,11,1,0,66,4.59,2,0,134,478.20015364109577
56,31,0,2,9,4.79,0,1,167,744.4180991800615
93,36,2,0,60,4.63,0,0,111,478.7697584495512
38,9,1,0,57,4.26,2,1,16,104.0560727191975
76,26,1,2,74,4.18,1,1,159,486.1839276370279
47,24,1,2,11,3.62,3,1,148,657.0936874279021
64,10,2,2,62,4.98,1,0,38,96.3007413779792
56,10,0,0,28,3.8,0,0,144,609.9082747031204
44,25,0,2,32,4.43,3,1,154,502.1012063441772
34,6,0,1,11,3.75,2,0,179,465.719058488387
45,18,1,2,70,3.84,3,0,122,308.43591786214927
31,7,0,1,22,4.88,0,1,172,806.0212701919081
95,28,0,1,34,4.48,1,0,163,576.9675719994219
82,59,0,1,39,3.5,3,1,67,284.2944207006542
95,38,2,2,39,3.71,0,1,97,478.3662772118347
27,12,1,2,1,4.93,1,0,41,119.4823999754907
94,23,1,1,71,4.15,3,1,154,532.5097779421501
66,15,2,2,88,4.21,1,1,65,291.9008795114952
40,6,0,0,37,4.75,0,1,148,707.8553931548287
56,27,1,2,62,4.74,1,1,129,435.7154538108565
54,6,1,0,48,4.26,2,0,154,504.0841142440527
46,15,1,2,96,4.69,2,1,116,497.3770093020007
65,16,1,2,82,3.62,1,1,146,460.8002858653508
96,48,2,0,11,4.19,3,0,79,272.4960775620536
47,9,1,0,88,4.06,3,0,93,246.9535423209308
20,7,2,2,55,4.43,3,0,153,482.7422075016093
94,57,1,1,13,4.04,0,0,60,205.495759583372
52,30,1,2,25,3.67,3,0,142,531.6062153403296
71,6,1,0,48,4.05,0,0,157,550.9983736824666
46,8,0,0,39,3.97,1,1,123,396.9586997774456
53,40,2,1,13,3.79,3,0,118,318.2115758092651
26,11,2,1,97,3.64,2,0,141,427.0550612068028
100,46,1,0,74,3.74,0,0,171,448.31285347772814
74,38,2,1,95,5.0,1,0,167,455.4083398759809
53,5,0,0,100,4.46,3,1,33,179.17081970350634
75,63,2,0,24,4.18,0,0,29,104.18588264010208
44,9,1,1,54,4.2,2,1,13,91.67748868757226
76,60,1,1,81,3.6,1,1,72,264.08573637935564
88,18,1,2,80,4.83,1,0,109,424.65693227127065
54,35,0,0,95,4.98,1,1,61,218.9504185416184
49,30,2,1,7,3.97,0,1,77,248.1703336422785
25,8,2,2,11,4.0,0,0,109,422.4367392307234
36,18,1,0,15,4.21,0,0,86,280.5240756909656
42,25,1,2,44,4.99,2,1,122,565.9834811108678
29,14,0,0,2,4.69,3,1,180,828.2131345744126
52,16,2,2,63,4.13,2,0,49,132.84680584297232
37,6,0,0,59,4.73,1,0,20,86.17345483820148
91,17,0,0,21,4.84,0,1,149,545.3868063047398
29,8,0,2,79,4.26,2,1,133,531.0619846358322
62,45,0,1,87,4.74,0,1,20,108.6023564641184
69,7,2,1,51,4.56,0,1,103,462.66304412150464
32,14,1,2,80,3.56,0,1,80,254.9510771161675
78,31,2,0,6,3.78,1,1,64,271.0126649576171
53,10,0,2,10,3.58,1,0,168,424.48842846396354
60,50,1,2,54,4.57,0,1,38,151.77728650517233
97,58,2,0,1,4.11,2,1,83,383.0749064097095
87,77,2,0,12,3.56,3,1,11,97.78450586126137
74,20,0,2,68,4.36,3,0,32,119.59407325541466
90,58,2,0,1,4.7,0,1,21,126.57277068445282
21,8,0,1,69,4.24,0,1,176,829.5343798843528
70,35,2,2,35,4.9,3,1,108,418.815349545453
37,7,1,1,1,3.92,1,0,62,233.21310275336955
30,11,0,0,93,3.56,3,1,155,701.141472496938
64,22,2,1,26,4.24,1,1,115,388.72966746525947
40,23,2,2,6,3.96,3,0,178,528.60807288888
28,18,2,0,100,3.62,0,1,92,382.03843862699455
85,19,0,0,17,3.69,2,0,164,587.331264277609
92,77,2,0,100,4.26,3,0,47,167.7398193291184
93,56,1,1,56,4.65,1,1,86,304.8360144837103
36,25,0,1,26,3.57,0,0,122,354.1540979676975
94,50,1,1,88,4.95,3,1,49,250.4603273046531
27,8,0,0,48,4.18,0,0,167,495.2197782062817
86,41,0,1,96,4.5,2,1,68,301.5483736351267
22,11,0,1,39,4.63,1,0,101,433.03454356764814
95,56,0,2,86,3.79,2,1,147,671.4712089285143
99,89,2,2,63,4.84,0,0,16,49.71329085631081
22,8,0,1,4,4.84,2,0,122,408.129769999122
100,85,1,2,59,4.46,1,0,110,329.4837131421355
61,38,0,2,100,4.34,1,1,78,383.3178042225475
33,18,1,0,7,4.01,3,0,105,313.06815696851334
39,22,0,0,63,3.87,1,1,170,706.6896358975697
37,5,2,2,75,3.88,1,1,26,142.6153122038585
95,53,1,2,6,4.01,0,1,158,708.8224028092762
28,6,1,0,54,4.03,0,1,168,593.065918046481
66,17,2,0,84,4.47,3,0,139,604.3834014812801
60,11,1,0,18,4.29,1,0,26,100.2582627032478
94,34,1,0,99,4.54,0,1,155,685.7612504810801
63,12,2,2,54,4.47,1,1,140,446.41301231617626
38,8,1,2,59,4.44,3,1,75,291.107936848218
35,21,1,2,13,4.14,2,1,36,193.64239387562827
83,64,1,0,78,4.01,1,0,109,304.52612995371493
62,14,0,2,33,4.23,2,1,85,386.834933294766
88,48,2,0,52,4.52,3,0,92,230.83258579661484
68,11,0,2,89,3.66,1,0,93,333.9106726820272
84,64,2,1,34,4.13,1,1,99,353.8098038704909
40,10,2,1,60,3.87,3,1,79,293.19813425701705
93,20,2,1,38,4.78,0,1,144,447.083068843808
57,44,2,0,78,3.53,1,0,153,584.888884974888
67,16,1,0,24,4.52,1,1,150,488.1872511532145
68,16,2,2,91,4.49,3,0,77,246.7577555097292
38,22,2,0,60,3.6,2,1,104,312.1731588463509
49,28,2,2,61,3.9,1,1,172,576.281119337865
98,59,2,1,55,4.6,2,0,100,381.391205400882
47,9,1,0,38,4.06,2,0,141,543.7702542024564
27,11,2,1,97,4.78,1,1,137,472.5224037960476
59,29,2,1,68,4.4,3,1,88,286.05897011629656
56,20,2,1,74,4.05,1,0,25,88.95619552388446
50,39,2,0,62,3.95,2,1,135,646.9811778631195
93,37,2,0,37,4.75,3,0,76,292.9246564000302
46,22,0,1,97,3.51,2,0,100,395.769846813748
56,19,1,2,16,4.46,1,1,86,279.6798100890559
37,16,1,0,8,4.5,1,0,46,192.50297743378897
85,58,2,1,85,4.1,3,1,92,351.77029329216225
27,7,2,1,89,3.6,2,1,120,555.4019371049674
44,16,0,2,31,3.96,3,1,122,395.3781570382596
75,51,1,1,68,3.65,0,1,66,261.5103067801241
21,11,2,0,46,3.84,2,0,103,397.5648404411393
42,29,1,2,67,4.59,2,1,153,735.2764383329761
25,15,1,2,100,4.9,3,1,94,289.4570095389695
67,46,1,1,92,4.72,2,0,32,97.6750013649232
29,6,1,2,24,4.37,0,0,50,197.46392160702555
100,70,2,0,42,4.9,3,1,167,762.8822843495781
37,10,1,0,27,4.26,0,0,143,512.44939271165
31,14,2,0,37,4.3,3,1,103,484.4661863877365
49,12,1,2,30,4.37,0,1,84,353.01840875622844
42,19,0,1,56,4.84,1,1,144,539.7316715337728
61,5,0,1,48,4.15,2,0,29,114.16365482248573
24,7,1,0,85,4.36,3,0,169,521.4080460440558
20,10,0,1,18,4.28,1,1,123,450.3878805106937
22,9,2,2,36,4.51,1,1,10,82.69156896202661
98,87,1,1,59,4.26,0,0,13,34.57409278115731
30,14,2,2,64,4.45,0,0,147,535.1718879088473
32,13,2,1,75,4.56,1,1,111,333.4011668412356
22,12,2,2,49,4.88,3,1,35,179.8388198801664
62,8,2,2,13,4.2,3,1,65,241.9912178461052
51,27,2,0,8,4.31,3,0,92,369.3803924019288
85,74,1,1,82,3.92,1,1,177,704.3001292247022
28,9,2,2,26,3.95,3,1,114,466.9720738288303
93,70,1,2,21,3.81,1,0,12,41.12164471941277
36,9,1,2,53,4.46,3,1,127,404.02979977887577
80,22,0,0,17,4.4,2,0,141,423.75441798529033
60,24,0,1,18,4.16,2,1,45,165.72466245477892
97,45,2,2,90,3.71,2,1,151,578.8213877560842
53,14,1,2,24,3.99,0,1,161,707.4493979183783
79,22,0,2,53,3.96,1,1,126,542.8095730212775
44,24,2,2,55,4.08,0,1,137,513.9900766589533
34,12,1,1,3,4.83,3,1,62,298.3556200090825
55,12,2,2,96,4.66,2,1,48,183.2701656673754
49,29,1,1,35,4.8,1,1,160,468.3069201504469
72,54,0,1,68,3.85,0,0,74,220.4983368386397
72,27,2,0,76,3.97,2,1,70,265.94661511348426
99,6,1,0,49,4.32,0,0,113,311.4894374116108
21,10,0,1,22,4.42,2,0,151,647.8477765247827
50,25,2,2,89,4.74,0,0,107,383.9141419544756
61,35,0,2,4,4.77,2,1,115,557.916185756397
24,5,0,2,57,4.96,3,1,70,228.7960083986281
31,17,0,2,71,4.46,1,1,55,237.76862211931405
35,20,1,1,62,3.55,0,0,117,297.0874038526085
74,30,2,1,97,3.9,1,0,179,794.3231511066332
94,61,2,1,12,4.95,1,1,133,563.8497971641384
44,11,0,2,31,3.92,0,1,110,339.2870734791633
84,37,2,0,3,3.83,1,1,69,248.9476553705649
27,12,1,1,39,4.51,2,1,55,279.2686999169939
59,36,1,1,43,3.74,1,1,25,145.04223833476908
82,20,2,1,59,3.99,3,1,45,241.8259564507362
24,10,2,0,24,4.09,2,1,97,430.60985477056624
84,67,1,1,48,4.87,3,0,81,219.99370680056552
52,9,1,1,24,4.19,2,0,102,366.7282586383836
38,12,0,2,44,4.85,1,0,110,356.8814026432877
26,12,2,1,80,4.27,0,0,134,441.4714772887345
61,39,1,1,82,4.49,2,1,46,230.1431447581205
87,41,0,0,97,4.27,0,1,37,158.89198003545
98,46,1,0,55,4.71,1,0,173,766.9193242115463
24,13,2,2,54,4.09,2,0,161,466.7229822330101
44,8,2,0,43,3.82,3,0,86,233.50662384935427
71,59,2,1,71,4.47,1,0,31,104.1037337805616
91,59,2,2,68,4.77,3,0,15,38.33576819209958
32,14,2,0,75,4.49,3,0,177,761.0167600703148
79,24,2,2,0,4.26,1,0,82,284.8625062809567
73,27,2,1,55,4.27,2,1,50,216.06019585156733
32,16,0,2,80,4.78,2,0,11,39.37370119886104
22,10,0,2,5,4.44,2,1,129,471.7821019342959
35,19,2,2,45,4.99,0,0,159,508.6730024657942
24,10,1,1,79,4.3,3,0,24,95.11851081754354
67,31,0,0,64,3.62,3,0,169,735.1444900755255
100,73,2,2,95,3.98,3,1,100,456.60307303079816
66,16,2,2,94,4.52,2,0,34,122.24187517858556
96,36,2,1,57,4.06,1,1,139,599.8171406236374
60,8,2,1,68,4.84,2,1,144,438.5186068324803
92,31,0,2,54,3.91,3,1,148,516.1330392078827
92,49,2,2,9,4.23,1,1,89,397.4831040703401
56,37,2,2,27,4.12,0,1,68,317.8400260939533
88,71,0,1,42,4.87,0,1,109,330.78364034759613
87,47,0,2,6,4.54,2,1,162,743.3166378180009
85,6,1,0,92,4.11,0,0,73,274.1712773124912
98,54,0,1,34,4.57,1,1,113,462.4075929220183
28,14,0,1,24,4.2,0,0,147,533.0802632142761
36,9,1,2,22,3.51,3,1,37,143.2178421949143
20,8,1,2,38,4.82,3,1,155,574.9456425421428
94,36,0,1,41,4.57,2,0,76,215.741761640662
94,82,1,0,48,4.92,2,1,20,129.7685299495176
70,7,2,1,13,4.09,0,0,117,321.0007657787772
90,71,1,1,37,3.51,2,1,32,172.59277503910292
42,10,2,2,56,4.01,3,1,95,455.20978516158993
44,18,1,0,88,3.67,3,1,50,199.8397440906976
60,16,1,1,28,3.91,1,0,105,281.0970650985199
26,5,0,2,7,4.75,0,1,140,413.54800185803066
79,13,0,1,6,4.63,0,0,38,134.09432585149492
26,8,0,0,65,3.58,3,1,89,378.50396161301137
62,7,2,2,2,4.71,2,1,28,162.05358553352147
42,16,0,0,33,3.63,2,0,166,513.1161277813304
57,16,2,1,0,3.95,0,0,97,308.6385554813678
33,13,0,0,34,4.78,2,0,66,239.08854651007988
22,10,0,1,26,4.97,2,0,170,562.1650160715976
67,44,2,1,27,4.69,2,0,129,467.0198948894929
62,15,1,2,15,4.28,3,0,73,327.43334173812747
95,49,0,1,92,4.27,3,1,99,332.0936161256213
61,36,2,2,72,4.64,3,1,109,457.0853188522962
48,12,0,2,25,4.26,3,0,180,552.8162271192283
93,59,0,1,30,4.11,0,1,89,281.0521288708149
59,18,2,0,67,3.86,2,0,98,288.3451530321269
95,73,2,1,20,3.59,1,1,138,666.8242060496077
71,33,1,1,4,4.88,1,1,109,436.0192372930386
20,7,1,0,71,3.83,2,1,51,248.22030676592635
23,7,2,0,96,3.97,0,1,165,493.2338839519256
80,69,1,2,94,4.44,3,0,74,291.5110820764234
58,10,2,0,51,4.27,3,1,138,459.0606514814432
71,25,2,0,72,4.46,1,0,169,603.9358824371426
69,26,0,0,48,4.28,1,1,175,502.6040622268877
89,54,1,0,48,4.38,0,0,24,74.78832688768996
84,62,2,2,52,4.61,0,0,29,126.23081147979764
98,61,2,2,91,4.28,3,0,95,319.94237960548924
95,25,2,0,26,3.62,2,0,81,207.61291922267668
79,29,0,2,29,4.22,3,0,99,304.74417790488224
82,10,2,2,97,4.43,3,0,177,481.7658793191911
87,5,0,0,6,3.76,1,0,28,83.3353748167845
83,35,0,0,3,4.32,3,1,116,513.6451022177532
47,9,0,1,5,4.81,3,1,178,561.374877548703
34,7,2,2,54,4.71,3,1,149,516.51117285383
26,13,0,1,14,4.19,2,0,174,666.4286805847338
88,7,0,0,11,3.64,3,1,130,573.2085393656391
57,26,0,1,92,3.8,1,1,67,283.7979251507492
45,17,0,2,67,4.7,0,0,15,66.78323718712389
82,26,2,0,35,4.71,2,0,114,289.2390324634591
54,39,0,0,88,4.59,1,0,42,147.42638660593482
